ビリー		今は狩らないわ。兄弟まとめての方が楽しそうだから。
リン		「眠れる龍」は狩らないわ。でも目覚めた時は・・再開が楽しみね。
ラデル		私だってやる時はやるわ。なきむしアニーなんてよばせないんだから。
アニー		ふしぎな感じだわ、そっくりな顔と技を相手にするって。
カサンドラ		闘いたくないなら、やめればいいじゃんおバカさんね。
オニ		口だけの男って最低！
ペペ		あなたも「眠れる龍」なのね。でも今はただの負け犬よ。
プパ		弱いわね、ドラゴンといっしょにいたから期待したのに。ざんねん。
*アリス		なんかワケありって感じ。でも私にはどうしようもないわ・・。
エリアス		おじさんの話つまんないよ。あっち行ってよ。
*ジョーンズ	もう、ぜんぜん話にならないわ。あっち行ってよ。
カン		おデブってきらいよ。だって弱いんだもの。
*ソニア		私が実力で勝って、あなたは負けたの。あははは。
ジミー		私がおいかけてるドラゴンじゃないから見のがしてあげる。でも次は狩るわよ
*アブボ		力だけじゃないのよ。頭も使わなくっちゃ！

ヨハン		この「世界」の可能性は無限大。想いがあれば運命だって変えられるわ・・
@モニカ		アニーは命の次に・・お菓子が大好きなの！！
ちゃんぷる	可愛くたって騙されないんだから・・。溢れるような邪気は隠しきれないわ！
社		まったく、ラデルかと思ったじゃない・・。紛らわしいから真似しないでよね。
○		おもしろい闘いだったわ
